,location,size_BHK,total_sqft,bathroom,price_lakhs
1879,Electronic City,2,910.0,2.0,42.0
1880,Electronic City,2,975.0,2.0,37.5
1881,Electronic City,3,1360.0,2.0,75.0
1882,Electronic City,2,770.0,1.0,40.0
1883,Electronic City,2,1128.0,2.0,64.0
1884,Electronic City,2,1070.0,2.0,54.0
1885,Electronic City,2,1025.0,2.0,29.6
1886,Electronic City,3,1571.0,3.0,89.0
1887,Electronic City,3,1111.0,3.0,50.0
1888,Electronic City,2,870.0,2.0,39.5
1889,Electronic City,2,921.0,2.0,34.0
1890,Electronic City,3,1374.0,2.0,72.0
1891,Electronic City,2,1100.0,2.0,45.0
1892,Electronic City,2,1128.0,2.0,65.35
1893,Electronic City,2,1128.0,2.0,65.0
1894,Electronic City,2,755.0,1.0,34.0
1895,Electronic City,3,1220.0,2.0,35.24
1896,Electronic City,4,4000.0,5.0,150.0
1897,Electronic City,2,1100.0,2.0,40.0
1898,Electronic City,3,1563.0,3.0,91.84
1899,Electronic City,3,1652.0,3.0,70.0
1900,Electronic City,2,1000.0,2.0,22.0
1901,Electronic City,2,1025.0,2.0,54.5
1902,Electronic City,2,1070.0,2.0,46.0
1903,Electronic City,3,1350.0,3.0,58.0
1904,Electronic City,2,1000.0,2.0,25.0
1905,Electronic City,2,1020.0,2.0,29.46
1906,Electronic City,3,1700.0,3.0,75.0
1907,Electronic City,3,1400.0,2.0,48.0
1908,Electronic City,2,1128.0,2.0,68.0
1909,Electronic City,1,700.0,1.0,35.0
1910,Electronic City,3,1360.0,2.0,70.5
1911,Electronic City,2,1150.0,2.0,38.0
1912,Electronic City,3,1571.0,3.0,105.0
1913,Electronic City,2,1090.0,2.0,31.49
1914,Electronic City,2,1089.0,2.0,45.0
1915,Electronic City,2,1110.0,2.0,40.0
1916,Electronic City,3,1600.0,3.0,104.0
1917,Electronic City,2,1130.0,2.0,32.63
1918,Electronic City,3,1500.0,2.0,100.0
1919,Electronic City,3,1440.0,2.0,55.0
1920,Electronic City,3,1156.0,2.0,44.0
1921,Electronic City,3,1400.0,2.0,40.44
1922,Electronic City,2,1152.0,2.0,65.0
1923,Electronic City,2,1070.0,2.0,60.0
1924,Electronic City,2,1128.0,2.0,65.5
1925,Electronic City,2,1200.0,2.0,59.0
1926,Electronic City,2,1152.0,2.0,65.75
1927,Electronic City,3,1225.0,3.0,45.03
1928,Electronic City,2,1070.0,2.0,55.0
1929,Electronic City,2,1060.0,2.0,58.0
1930,Electronic City,2,1025.0,2.0,54.1
1931,Electronic City,3,1105.0,2.0,35.0
1932,Electronic City,2,660.0,1.0,18.0
1933,Electronic City,2,660.0,1.0,15.0
1934,Electronic City,2,1000.0,2.0,41.0
1935,Electronic City,3,1500.0,2.0,78.0
1936,Electronic City,2,1213.0,2.0,59.32
1937,Electronic City,3,1575.0,3.0,90.0
1938,Electronic City,3,1449.0,3.0,100.0
1939,Electronic City,3,1310.0,2.0,37.83
1940,Electronic City,2,1125.0,2.0,58.0
1941,Electronic City,2,1090.0,2.0,35.03
1942,Electronic City,3,1575.0,3.0,101.0
1943,Electronic City,2,660.0,1.0,16.0
1944,Electronic City,1,550.0,1.0,12.0
1945,Electronic City,2,919.0,2.0,40.0
1946,Electronic City,3,1500.0,2.0,78.25
1947,Electronic City,2,1363.0,2.0,79.0
1948,Electronic City,2,1156.0,2.0,42.0
1949,Electronic City,2,1020.0,2.0,29.46
1950,Electronic City,2,1108.0,2.0,67.15
1951,Electronic City,2,1160.0,2.0,33.5
1952,Electronic City,2,1128.0,2.0,65.7
1953,Electronic City,2,1170.0,2.0,33.0
1954,Electronic City,2,1060.0,2.0,51.0
1955,Electronic City,3,1410.0,2.0,38.0
1956,Electronic City,3,1650.0,3.0,100.0
1957,Electronic City,2,1020.0,2.0,29.45
1958,Electronic City,2,1025.0,2.0,49.0
1959,Electronic City,2,1000.0,2.0,29.7
1960,Electronic City,3,1449.0,3.0,90.0
1961,Electronic City,2,1065.0,2.0,30.75
1962,Electronic City,2,1070.0,2.0,58.0
1963,Electronic City,2,1210.0,2.0,54.0
1964,Electronic City,3,1500.0,2.0,75.0
1965,Electronic City,3,1033.0,2.0,28.41
1966,Electronic City,2,1070.0,2.0,52.0
1967,Electronic City,4,2435.0,4.0,119.0
1968,Electronic City,2,660.0,1.0,15.5
1969,Electronic City,2,1125.0,2.0,32.5
1970,Electronic City,2,1165.0,2.0,33.64
1971,Electronic City,2,919.0,2.0,34.0
1972,Electronic City,2,1073.0,2.0,60.0
1973,Electronic City,3,1500.0,2.0,78.0
1974,Electronic City,2,1070.0,2.0,47.0
1975,Electronic City,2,1296.0,2.0,65.0
1976,Electronic City,2,1140.0,2.0,70.93
1977,Electronic City,2,1200.0,2.0,34.65
1978,Electronic City,2,1096.0,2.0,40.55
1979,Electronic City,2,1017.0,2.0,27.0
1980,Electronic City,2,1130.0,2.0,32.63
1981,Electronic City,2,1110.0,2.0,39.95
1982,Electronic City,4,2093.0,4.0,104.0
1983,Electronic City,2,1025.0,2.0,53.9
1984,Electronic City,2,940.0,2.0,54.0
1985,Electronic City,1,435.0,1.0,21.0
1986,Electronic City,3,1500.0,2.0,77.5
1987,Electronic City,3,1631.0,3.0,80.0
1988,Electronic City,2,1355.0,2.0,67.0
1989,Electronic City,2,1200.0,2.0,34.0
1990,Electronic City,2,1175.0,2.0,47.0
1991,Electronic City,1,435.0,1.0,22.0
1992,Electronic City,3,1500.0,2.0,63.0
1993,Electronic City,2,1039.0,2.0,50.0
1994,Electronic City,2,770.0,1.0,39.9
1995,Electronic City,2,919.0,2.0,35.0
1996,Electronic City,2,1128.0,2.0,64.0
1997,Electronic City,1,605.0,1.0,13.31
1998,Electronic City,3,1159.0,2.0,38.0
1999,Electronic City,1,530.0,1.0,13.5
2000,Electronic City,2,1070.0,2.0,53.0
2001,Electronic City,2,1025.0,1.0,26.63
2002,Electronic City,3,2400.0,2.0,78.0
2003,Electronic City,3,1571.0,3.0,83.0
2004,Electronic City,3,1470.0,2.0,44.1
2005,Electronic City,3,1350.0,3.0,66.0
2006,Electronic City,3,1652.0,3.0,110.0
2007,Electronic City,3,1320.0,2.0,38.12
2008,Electronic City,2,1090.0,2.0,31.48
2009,Electronic City,3,1050.0,2.0,39.0
2010,Electronic City,2,1128.0,2.0,65.58
2011,Electronic City,1,635.0,1.0,28.0
2012,Electronic City,2,1128.0,2.0,65.4
2013,Electronic City,2,1096.0,2.0,39.0
2014,Electronic City,2,1150.0,2.0,38.0
2015,Electronic City,2,1355.0,2.0,72.9
2016,Electronic City,2,1200.0,2.0,30.0
2017,Electronic City,2,1150.0,2.0,35.0
2018,Electronic City,2,1165.0,2.0,33.64
2019,Electronic City,2,770.0,1.0,35.0
2020,Electronic City,2,1020.0,2.0,29.45
2021,Electronic City,2,865.0,2.0,40.0
2022,Electronic City,2,800.0,2.0,32.0
2023,Electronic City,2,970.0,2.0,34.0
2024,Electronic City,2,1108.0,2.0,63.0
2025,Electronic City,1,630.0,1.0,40.5
2026,Electronic City,2,1100.0,2.0,41.0
2027,Electronic City,2,975.0,2.0,32.0
2028,Electronic City,1,605.0,1.0,22.0
2029,Electronic City,2,1142.0,2.0,35.0
2030,Electronic City,2,1070.0,2.0,48.0
2031,Electronic City,3,1160.0,2.0,42.0
2032,Electronic City,3,1360.0,2.0,70.0
2033,Electronic City,1,635.0,1.0,28.0
2034,Electronic City,2,1128.0,2.0,65.45
2035,Electronic City,2,890.0,2.0,40.0
2036,Electronic City,2,1065.0,2.0,30.75
2037,Electronic City,2,1127.0,2.0,32.0
2038,Electronic City,2,825.0,2.0,35.0
2039,Electronic City,2,1200.0,2.0,40.5
2040,Electronic City,3,1360.0,2.0,58.0
2041,Electronic City,3,1400.0,2.0,40.45
2042,Electronic City,2,1065.0,2.0,30.76
2043,Electronic City,1,630.0,1.0,33.7
2044,Electronic City,2,1025.0,2.0,29.61
2045,Electronic City,3,1160.0,2.0,42.0
2046,Electronic City,2,660.0,1.0,16.5
2047,Electronic City,3,1400.0,3.0,90.0
2048,Electronic City,3,1287.0,3.0,55.0
2049,Electronic City,2,1258.0,2.0,85.5
2050,Electronic City,2,1386.0,2.0,85.0
2051,Electronic City,2,1025.0,2.0,50.0
2052,Electronic City,2,1140.0,2.0,33.84
2053,Electronic City,2,1070.0,2.0,55.0
2054,Electronic City,2,1342.0,2.0,72.0
2055,Electronic City,3,1275.0,3.0,70.0
2056,Electronic City,2,770.0,1.0,38.0
2057,Electronic City,2,1200.0,2.0,34.65
2058,Electronic City,2,1005.0,2.0,39.77
2059,Electronic City,2,1110.0,2.0,39.9
2060,Electronic City,2,660.0,1.0,23.0
2061,Electronic City,3,1644.0,3.0,92.59
2062,Electronic City,2,1250.0,2.0,62.0
2063,Electronic City,2,1020.0,2.0,30.27
2064,Electronic City,2,1025.0,2.0,29.6
2065,Electronic City,1,418.0,1.0,12.0
2066,Electronic City,2,1128.0,2.0,64.8
2067,Electronic City,3,1220.0,2.0,35.25
2068,Electronic City,3,1220.0,2.0,35.23
2069,Electronic City,2,1060.0,2.0,55.0
2070,Electronic City,1,710.0,1.0,40.42
2071,Electronic City,2,1000.0,2.0,29.95
2072,Electronic City,2,870.0,2.0,24.0
2073,Electronic City,3,1275.0,3.0,63.43
2074,Electronic City,3,1518.0,3.0,75.0
2075,Electronic City,1,1090.0,2.0,31.48
2076,Electronic City,2,1140.0,2.0,32.92
2077,Electronic City,2,1125.0,2.0,32.49
2078,Electronic City,2,1060.0,2.0,55.0
2079,Electronic City,2,1200.0,2.0,34.66
2080,Electronic City,2,1353.0,2.0,75.0
2081,Electronic City,2,660.0,1.0,18.0
2082,Electronic City,2,1128.0,2.0,67.0
2083,Electronic City,2,1070.0,2.0,57.0
2084,Electronic City,3,1700.0,3.0,90.0
2085,Electronic City,3,1521.0,2.0,57.5
2086,Electronic City,1,750.0,1.0,35.0
2087,Electronic City,2,1210.0,2.0,55.0
2088,Electronic City,2,1070.0,2.0,60.0
2089,Electronic City,3,1400.0,2.0,40.44
2090,Electronic City,2,1190.0,2.0,42.0
2091,Electronic City,2,880.0,2.0,19.0
2092,Electronic City,2,1150.0,2.0,38.08
2093,Electronic City,3,1615.0,3.0,97.0
2094,Electronic City,2,1165.0,2.0,33.65
2095,Electronic City,2,1221.0,2.0,68.0
2096,Electronic City,2,970.0,2.0,35.0
2097,Electronic City,3,1500.0,3.0,73.0
2098,Electronic City,2,995.0,2.0,48.0
2099,Electronic City,2,1342.0,2.0,90.0
2100,Electronic City,3,1320.0,2.0,38.12
2101,Electronic City,2,1128.0,2.0,63.5
2102,Electronic City,1,589.0,1.0,29.0
2103,Electronic City,2,1125.0,2.0,28.13
2104,Electronic City,2,825.0,2.0,30.0
2105,Electronic City,3,1575.0,3.0,94.5
2106,Electronic City,2,1070.0,2.0,48.0
2107,Electronic City,2,1025.0,2.0,54.0
2108,Electronic City,3,1500.0,2.0,70.0
2109,Electronic City,3,1500.0,2.0,64.5
2110,Electronic City,2,1140.0,2.0,32.93
2111,Electronic City,4,2093.0,4.0,134.0
2112,Electronic City,2,750.0,2.0,19.5
2113,Electronic City,2,1355.0,2.0,73.0
2114,Electronic City,3,1360.0,2.0,64.99
2115,Electronic City,2,1060.0,2.0,52.0
2116,Electronic City Phase II,2,1056.0,2.0,39.07
2117,Electronic City Phase II,2,1020.0,2.0,30.6
2118,Electronic City Phase II,2,1069.0,2.0,45.0
2119,Electronic City Phase II,1,630.0,1.0,28.35
2120,Electronic City Phase II,3,1220.0,2.0,35.23
2121,Electronic City Phase II,2,1000.0,2.0,25.0
2122,Electronic City Phase II,2,1090.0,2.0,28.34
2123,Electronic City Phase II,4,2225.0,4.0,98.88
2124,Electronic City Phase II,3,1400.0,2.0,40.43
2125,Electronic City Phase II,2,775.0,2.0,38.0
2126,Electronic City Phase II,2,1266.0,2.0,59.0
2127,Electronic City Phase II,2,1000.0,2.0,28.88
2128,Electronic City Phase II,3,1320.0,2.0,38.13
2129,Electronic City Phase II,3,1220.0,3.0,35.23
2130,Electronic City Phase II,2,972.0,2.0,44.0
2131,Electronic City Phase II,3,1400.0,2.0,40.43
2132,Electronic City Phase II,2,1031.0,2.0,55.0
2133,Electronic City Phase II,2,1003.0,2.0,40.6
2134,Electronic City Phase II,2,1031.0,2.0,56.35
2135,Electronic City Phase II,3,1320.0,2.0,38.12
2136,Electronic City Phase II,3,1395.0,2.0,62.78
2137,Electronic City Phase II,2,1160.0,2.0,33.5
2138,Electronic City Phase II,2,1065.0,2.0,30.75
2139,Electronic City Phase II,2,1219.0,2.0,61.25
2140,Electronic City Phase II,3,1400.0,2.0,41.58
2141,Electronic City Phase II,2,1000.0,2.0,28.88
2142,Electronic City Phase II,3,1790.0,3.0,100.0
2143,Electronic City Phase II,2,769.0,2.0,40.0
2144,Electronic City Phase II,3,1400.0,2.0,40.43
2145,Electronic City Phase II,2,900.0,2.0,32.5
2146,Electronic City Phase II,3,1329.0,2.0,41.0
2147,Electronic City Phase II,3,1220.0,3.0,35.23
2148,Electronic City Phase II,3,993.0,2.0,50.0
2149,Electronic City Phase II,3,1418.0,3.0,52.47
2150,Electronic City Phase II,2,1070.0,2.0,45.0
2151,Electronic City Phase II,3,1310.0,2.0,32.75
2152,Electronic City Phase II,3,1310.0,2.0,37.83
2153,Electronic City Phase II,2,1140.0,2.0,33.06
2154,Electronic City Phase II,2,1089.0,2.0,32.67
2155,Electronic City Phase II,2,1031.0,2.0,55.0
2156,Electronic City Phase II,2,1253.0,2.0,65.8
2157,Electronic City Phase II,3,1400.0,2.0,40.44
2158,Electronic City Phase II,2,1160.0,2.0,33.5
2159,Electronic City Phase II,3,975.0,2.0,45.0
2160,Electronic City Phase II,4,6000.0,4.0,260.0
2161,Electronic City Phase II,2,1116.0,2.0,37.0
2162,Electronic City Phase II,2,1125.0,2.0,29.25
2163,Electronic City Phase II,2,1000.0,2.0,28.88
2164,Electronic City Phase II,2,1000.0,2.0,28.88
2165,Electronic City Phase II,2,1000.0,2.0,28.88
2166,Electronic City Phase II,2,1165.0,2.0,30.29
2167,Electronic City Phase II,2,1031.0,2.0,53.0
2168,Electronic City Phase II,3,1611.0,2.0,48.33
2169,Electronic City Phase II,2,1065.0,2.0,30.88
2170,Electronic City Phase II,3,1220.0,3.0,36.6
2171,Electronic City Phase II,3,1549.0,3.0,80.0
2172,Electronic City Phase II,2,1065.0,2.0,56.13
2173,Electronic City Phase II,3,1320.0,2.0,38.13
2174,Electronic City Phase II,2,920.0,2.0,26.0
2175,Electronic City Phase II,2,1140.0,2.0,33.84
2176,Electronic City Phase II,2,1219.0,2.0,61.26
2177,Electronic City Phase II,3,1252.0,2.0,65.0
2178,Electronic City Phase II,2,1125.0,2.0,32.49
2179,Electronic City Phase II,3,1310.0,2.0,37.83
2180,Electronic City Phase II,2,1286.0,2.0,69.0
2181,Electronic City Phase II,3,1220.0,2.0,36.21
2182,Electronic City Phase II,2,1140.0,2.0,32.92
2183,Electronic City Phase II,2,1116.0,2.0,40.0
2184,Electronic City Phase II,3,1150.0,3.0,46.0
2185,Electronic City Phase II,3,1192.0,2.0,47.0
2186,Electronic City Phase II,3,1502.0,3.0,50.0
2187,Electronic City Phase II,2,1020.0,2.0,32.0
2188,Electronic City Phase II,4,1900.0,3.0,97.0
2189,Electronic City Phase II,2,1020.0,2.0,27.43
2190,Electronic City Phase II,2,1025.0,2.0,26.65
2191,Electronic City Phase II,2,1020.0,2.0,29.45
2192,Electronic City Phase II,2,1000.0,2.0,28.88
2193,Electronic City Phase II,3,1310.0,2.0,37.84
2194,Electronic City Phase II,2,1140.0,2.0,28.5
2195,Electronic City Phase II,2,1125.0,2.0,32.49
2196,Electronic City Phase II,2,1200.0,2.0,34.65
2197,Electronic City Phase II,2,1160.0,2.0,52.2
2198,Electronic City Phase II,2,1244.0,2.0,55.0
2199,Electronic City Phase II,2,1160.0,2.0,33.51
2200,Electronic City Phase II,3,1220.0,3.0,35.25
2201,Electronic City Phase II,3,1625.0,2.0,48.75
2202,Electronic City Phase II,2,972.0,2.0,40.0
2203,Electronic City Phase II,2,1160.0,2.0,33.51
2204,Electronic City Phase II,3,1400.0,2.0,40.45
2205,Electronic City Phase II,2,1090.0,2.0,31.48
2206,Electronic City Phase II,2,1140.0,2.0,32.92
2207,Electronic City Phase II,1,650.0,1.0,35.0
2208,Electronic City Phase II,2,1155.0,2.0,57.0
2209,Electronic City Phase II,3,1800.0,3.0,92.0
2210,Electronic City Phase II,2,1300.0,2.0,28.0
2211,Electronic City Phase II,2,1160.0,2.0,33.5
2212,Electronic City Phase II,2,1025.0,2.0,29.6
2213,Electronic City Phase II,2,829.0,2.0,22.8
2214,Electronic City Phase II,4,2187.5,4.0,105.0
2215,Electronic City Phase II,2,1252.0,2.0,67.0
2216,Electronic City Phase II,3,1320.0,2.0,38.12
2217,Electronic City Phase II,2,1125.0,2.0,32.63
2218,Electronic City Phase II,2,1140.0,2.0,34.0
2219,Electronic City Phase II,3,1310.0,2.0,37.84
2220,Electronic City Phase II,3,1400.0,2.0,40.43
2221,Electronic City Phase II,3,1252.0,2.0,65.0
2222,Electronic City Phase II,2,1135.0,2.0,46.0
2223,Electronic City Phase II,3,1305.0,3.0,65.0
2224,Electronic City Phase II,2,1165.0,2.0,33.64
2225,Electronic City Phase II,3,1400.0,2.0,40.44
2226,Electronic City Phase II,3,1336.0,2.0,50.35
2227,Electronic City Phase II,1,575.0,1.0,16.75
2228,Electronic City Phase II,3,925.0,2.0,49.82
2229,Electronic City Phase II,2,1065.0,2.0,30.76
2230,Electronic City Phase II,2,1065.0,2.0,30.75
2231,Electronic City Phase II,2,1140.0,2.0,33.06
2232,Electronic City Phase II,2,911.0,2.0,26.5
2233,Electronic City Phase II,2,1200.0,2.0,34.65
2234,Electronic City Phase II,2,1031.0,2.0,54.48
2235,Electronic City Phase II,3,1310.0,2.0,37.83
2236,Electronic City Phase II,3,1651.0,3.0,49.53
2237,Electronics City Phase 1,2,1070.0,2.0,45.5
2238,Electronics City Phase 1,3,1475.0,3.0,78.29
2239,Electronics City Phase 1,3,1490.0,3.0,78.8
2240,Electronics City Phase 1,3,1490.0,3.0,84.0
2241,Electronics City Phase 1,2,1175.0,2.0,51.47
2242,Electronics City Phase 1,2,1160.0,2.0,52.0
2243,Electronics City Phase 1,2,920.0,2.0,33.0
2244,Electronics City Phase 1,3,1750.0,3.0,84.0
2245,Electronics City Phase 1,3,1350.0,3.0,55.0
2246,Electronics City Phase 1,2,940.0,2.0,40.0
2247,Electronics City Phase 1,2,1015.0,2.0,56.0
2248,Electronics City Phase 1,3,1595.0,3.0,75.0
2249,Electronics City Phase 1,3,1515.0,2.0,80.91
2250,Electronics City Phase 1,2,995.0,2.0,46.0
2251,Electronics City Phase 1,3,1555.0,2.0,82.0
2252,Electronics City Phase 1,2,1340.0,2.0,75.0
2253,Electronics City Phase 1,1,650.0,1.0,23.0
2254,Electronics City Phase 1,3,1124.0,2.0,55.0
2255,Electronics City Phase 1,2,1175.0,2.0,57.0
2256,Electronics City Phase 1,1,755.0,1.0,42.41
2257,Electronics City Phase 1,1,580.0,1.0,27.0
2258,Electronics City Phase 1,2,940.0,2.0,49.0
2259,Electronics City Phase 1,2,1335.0,2.0,67.0
2260,Electronics City Phase 1,2,995.0,2.0,42.0
2261,Electronics City Phase 1,3,1350.0,3.0,71.0
2262,Electronics City Phase 1,3,1445.0,2.0,56.0
2263,Electronics City Phase 1,2,995.0,2.0,49.8
2264,Electronics City Phase 1,1,635.0,1.0,26.0
2265,Electronics City Phase 1,2,1190.0,2.0,68.0
2266,Electronics City Phase 1,2,1085.0,2.0,46.0
2267,Electronics City Phase 1,3,1450.0,3.0,72.54
2268,Electronics City Phase 1,1,360.0,1.0,16.9
2269,Electronics City Phase 1,1,638.0,1.0,32.0
2270,Electronics City Phase 1,2,1175.0,2.0,64.98
2271,Electronics City Phase 1,1,585.0,1.0,21.0
2272,Electronics City Phase 1,2,1200.0,2.0,59.76
2273,Electronics City Phase 1,2,1145.0,2.0,54.0
2274,Electronics City Phase 1,2,1125.0,2.0,65.0
2275,Electronics City Phase 1,3,1550.0,2.0,82.0
2276,Electronics City Phase 1,2,1175.0,2.0,50.0
2277,Electronics City Phase 1,2,865.0,2.0,40.0
2278,Electronics City Phase 1,3,1450.0,3.0,70.0
2279,Electronics City Phase 1,3,1450.0,2.0,63.51
2280,Electronics City Phase 1,3,1450.0,3.0,58.0
2281,Electronics City Phase 1,3,1800.0,3.0,93.0
2282,Electronics City Phase 1,2,1314.0,2.0,60.0
2283,Electronics City Phase 1,2,1170.0,2.0,62.0
2284,Electronics City Phase 1,3,1450.0,3.0,79.0
2285,Electronics City Phase 1,2,940.0,2.0,48.0
2286,Electronics City Phase 1,2,940.0,2.0,44.0
2287,Electronics City Phase 1,2,1300.0,2.0,67.0
2288,Electronics City Phase 1,2,1028.0,2.0,51.0
2289,Electronics City Phase 1,2,1080.0,2.0,46.0
2290,Electronics City Phase 1,2,1205.0,2.0,60.0
2291,Electronics City Phase 1,3,1900.0,3.0,85.0
2292,Electronics City Phase 1,2,1305.0,2.0,67.0
2293,Electronics City Phase 1,1,755.0,1.0,30.12
2294,Electronics City Phase 1,2,1175.0,2.0,60.0
2295,Frazer Town,3,1700.0,3.0,180.0
2296,Frazer Town,3,1305.0,3.0,95.45
2297,Frazer Town,3,1870.0,3.0,185.0
2298,Frazer Town,3,1750.0,3.0,150.0
2299,Frazer Town,4,4850.0,6.0,385.0
2300,Frazer Town,3,2000.0,3.0,200.0
2301,Frazer Town,3,3500.0,4.0,330.0
2302,Frazer Town,3,2350.0,4.0,285.0
2303,Frazer Town,2,1550.0,2.0,140.0
2304,Frazer Town,3,1900.0,4.0,145.0
2305,Frazer Town,3,2560.0,3.0,265.0
2306,Frazer Town,3,2400.0,3.0,260.0
2307,Frazer Town,3,2560.0,3.0,288.0
2308,Frazer Town,4,3436.0,5.0,341.0
2309,Frazer Town,4,4856.0,5.0,410.0
2310,Frazer Town,2,1315.0,2.0,140.0
2311,Frazer Town,3,1706.0,3.0,154.0
2312,Frazer Town,3,2079.0,3.0,220.0
2313,Frazer Town,4,3435.0,2.0,341.0
2314,Frazer Town,4,3436.0,5.0,345.0
2315,Frazer Town,3,3100.0,3.0,400.0
2316,Frazer Town,3,5400.0,3.0,400.0
2317,Frazer Town,2,1180.0,2.0,105.0
2318,Frazer Town,4,2900.0,4.0,325.0
2319,Frazer Town,3,1870.0,3.0,180.0
2320,Frazer Town,1,896.0,1.0,100.0
2321,Frazer Town,2,1420.0,2.0,120.0
2322,GM Palaya,3,1820.0,2.0,86.0
2323,GM Palaya,2,1225.0,2.0,47.0
2324,GM Palaya,2,1140.0,2.0,48.95
2325,GM Palaya,3,1315.0,2.0,65.0
2326,GM Palaya,3,1315.0,3.0,65.0
2327,GM Palaya,3,1315.0,3.0,64.0
2328,GM Palaya,3,1735.0,3.0,70.0
2329,GM Palaya,3,1643.0,2.0,70.0
2330,Garudachar Palya,3,1325.0,2.0,60.8
2331,Garudachar Palya,2,1060.0,2.0,48.7
2332,Garudachar Palya,2,1150.0,2.0,52.75
2333,Garudachar Palya,3,1295.0,2.0,59.5
2334,Garudachar Palya,3,1320.0,2.0,60.6
2335,Garudachar Palya,3,1295.0,2.0,59.5
2336,Garudachar Palya,2,1150.0,2.0,52.8
2337,Garudachar Palya,2,1150.0,2.0,52.8
2338,Garudachar Palya,2,1060.0,2.0,48.5
2339,Garudachar Palya,2,1150.0,2.0,52.5
2340,Garudachar Palya,3,1325.0,2.0,60.8
2341,Garudachar Palya,2,1060.0,2.0,48.66
2342,Garudachar Palya,2,1150.0,2.0,52.0
2343,Garudachar Palya,2,1154.0,2.0,51.8
2344,Garudachar Palya,3,1325.0,2.0,60.0
2345,Giri Nagar,3,1800.0,3.0,252.0
2346,Giri Nagar,6,3000.0,4.0,375.0
2347,Gollarapalya Hosahalli,2,861.0,2.0,34.5
2348,Gollarapalya Hosahalli,3,1408.0,3.0,62.0
2349,Gollarapalya Hosahalli,2,861.0,2.0,34.5
2350,Gollarapalya Hosahalli,3,1318.0,3.0,54.0
2351,Gollarapalya Hosahalli,2,861.0,2.0,36.5
2352,Gollarapalya Hosahalli,3,1320.0,3.0,60.0
2353,Gollarapalya Hosahalli,3,1345.0,3.0,60.0
2354,Gollarapalya Hosahalli,4,1905.0,3.0,86.0
2355,Gollarapalya Hosahalli,3,1318.0,3.0,56.0
2356,Gollarapalya Hosahalli,2,1129.0,2.0,50.0
2357,Gottigere,2,1100.0,2.0,40.0
2358,Gottigere,2,967.0,2.0,45.0
2359,Gottigere,3,1618.0,3.0,82.5
2360,Gottigere,2,1222.0,2.0,63.0
2361,Gottigere,3,1600.0,2.0,55.0
2362,Gottigere,3,1300.0,3.0,65.0
2363,Gottigere,2,950.0,2.0,38.0
2364,Gottigere,2,1153.0,2.0,48.5
2365,Gottigere,1,812.0,1.0,26.0
2366,Gottigere,4,2000.0,4.0,82.0
2367,Gottigere,3,1460.0,2.0,65.0
2368,Gottigere,3,1500.0,3.0,70.0
2369,Gottigere,3,1621.0,3.0,72.0
2370,Gottigere,1,812.0,1.0,26.0
2371,Gottigere,2,990.0,2.0,40.0
2372,Gottigere,2,1235.0,2.0,63.0
2373,Gottigere,3,1385.0,3.0,64.0
2374,Gottigere,2,1000.0,2.0,35.0
2375,Gottigere,2,1010.0,2.0,35.0
2376,Gottigere,3,1385.0,2.0,50.0
2377,Gottigere,3,1425.0,2.0,47.0
2378,Gottigere,3,1435.0,2.0,62.0
2379,Gottigere,2,945.0,2.0,45.0
2380,Gottigere,3,1400.0,2.0,50.0
2381,Gottigere,4,2500.0,3.0,120.0
2382,Gottigere,3,1230.0,2.0,52.0
2383,Gottigere,2,1120.0,2.0,50.0
2384,Gottigere,3,1500.0,3.0,63.0
2385,Gottigere,2,1200.0,2.0,40.0
2386,Gottigere,2,1280.0,2.0,61.0
2387,Gottigere,2,1205.0,2.0,56.58
2388,Gottigere,2,1170.0,2.0,40.0
2389,Gottigere,4,3000.0,3.0,132.0
2390,Gottigere,3,1613.0,3.0,72.0
2391,Gottigere,2,1110.0,2.0,36.25
2392,Gottigere,2,1245.0,2.0,59.0
2393,Gottigere,2,1200.0,2.0,50.0
2394,Green Glen Layout,3,1670.0,3.0,120.0
2395,Green Glen Layout,4,3250.0,4.0,230.0
2396,Green Glen Layout,4,3250.0,4.0,230.0
2397,Green Glen Layout,2,940.0,2.0,56.8
2398,Green Glen Layout,2,1075.0,2.0,60.0
2399,Green Glen Layout,3,1715.0,3.0,115.0
2400,Green Glen Layout,3,1751.0,2.0,115.0
2401,Green Glen Layout,3,1750.0,3.0,130.0
2402,Green Glen Layout,3,1530.0,3.0,105.0
2403,Green Glen Layout,3,1752.0,3.0,105.0
2404,Green Glen Layout,3,1680.0,4.0,95.0
2405,Green Glen Layout,3,1728.0,3.0,125.0
2406,Green Glen Layout,3,1645.0,3.0,110.0
2407,Green Glen Layout,3,1517.0,3.0,100.0
2408,Green Glen Layout,4,3150.0,4.0,218.0
2409,Green Glen Layout,4,3270.0,4.0,205.0
2410,Green Glen Layout,3,1750.0,3.0,120.0
2411,Green Glen Layout,3,1751.0,3.0,115.0
2412,Green Glen Layout,3,1750.0,3.0,105.0
2413,Green Glen Layout,3,1885.0,3.0,135.0
2414,Green Glen Layout,3,1715.0,3.0,120.0
2415,Green Glen Layout,3,1715.0,3.0,115.0
2416,Green Glen Layout,3,1715.0,3.0,105.0
2417,Green Glen Layout,3,1600.0,3.0,105.0
2418,Green Glen Layout,3,1717.0,3.0,125.0
2419,Green Glen Layout,2,1250.0,2.0,75.0
2420,Green Glen Layout,3,1715.0,3.0,112.0
2421,Gubbalala,3,1470.0,2.0,82.0
